16:43:23 | INFO    | rose | Running 1 simulation sample(s): [[1.0]]
16:43:23 | INFO    | rose | Creating new sample history file: /home/zhsiller/research/ROSE/training_runs/run_2/rc_2/sample_history.pkl
16:45:46 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
16:45:46 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
16:45:47 | INFO    | rose | Running 1 simulation sample(s): [[1.0]]
16:45:48 | INFO    | rose | Creating new sample history file: /home/zhsiller/research/ROSE/training_runs/cdr/run_1/rc_1/sample_history.pkl
16:48:08 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
16:48:08 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
16:48:09 | INFO    | rose | Running 4 simulation sample(s): [[10000.0, 100000.0, 0.125, 1.0]]
16:48:09 | INFO    | rose | Creating new sample history file: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_1/rc_1/sample_history.pkl
16:49:53 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
16:49:53 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
16:50:25 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
16:50:25 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
16:50:25 | INFO    | rose | Running 4 simulation sample(s): [[10000.0, 100000.0, 0.125, 1.0]]
16:54:54 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
16:54:54 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
16:54:55 | INFO    | rose | Running 4 simulation sample(s): [[10000.0, 100000.0, 0.125, 1.0]]
16:54:55 | INFO    | rose | Running simulation for sample: [1.00e+04 1.00e+05 1.25e-01 1.00e+00]
17:00:15 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
17:00:15 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
17:00:16 | INFO    | rose | Running 4 simulation sample(s): [[10000.0, 100000.0, 0.125, 1.0]]
17:00:16 | INFO    | rose | Running simulation for sample: [1.00e+04 1.00e+05 1.25e-01 1.00e+00]
17:00:16 | INFO    | rose | Appending to existing sample history file: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_1/rc_1/sample_history.pkl
09:47:28 | INFO    | rose | Running 1 simulation sample(s): [[1.0]]
09:47:28 | INFO    | rose | Running simulation for sample: [1.]
09:47:28 | INFO    | rose | Creating new sample history file: /home/zhsiller/research/ROSE/training_runs/cdr/smoke_ctx/r1/sample_history.pkl
09:47:42 | INFO    | rose | Active learning: method=uncertainty, n_select=1
10:03:06 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
10:03:06 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
10:03:07 | INFO    | rose | Running simulation for context: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_2/rc_1
10:03:07 | INFO    | rose | Running 4 simulation sample(s): [[10000.0, 100000.0, 0.125, 1.0]]
10:03:07 | INFO    | rose | Running simulation for sample: [1.00e+04 1.00e+05 1.25e-01 1.00e+00]
10:03:08 | INFO    | rose | Creating new sample history file: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_2/rc_1/sample_history.pkl
10:05:06 | INFO    | rose | Logging to /home/zhsiller/research/ROSE/logs
10:05:06 | INFO    | rose | Starting workflow (al_method=uncertainty, max_iter=11, threshold MSE=1e-05)
10:05:08 | INFO    | rose | Running simulation for context: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_2/rc_1
10:05:08 | INFO    | rose | Running 4 simulation sample(s): [[10000.0, 100000.0, 0.125, 1.0]]
10:05:08 | INFO    | rose | Running simulation for sample: [1.00e+04 1.00e+05 1.25e-01 1.00e+00]
10:05:08 | INFO    | rose | Simulation completed for context: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_2/rc_1/data
10:05:08 | INFO    | rose | Appending to existing sample history file: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_2/rc_1/sample_history.pkl
10:05:08 | INFO    | rose | Sample history completed for context: /home/zhsiller/research/ROSE/training_runs/shock_tube/run_2/rc_1/sample_history.pkl
