# x exact prior analysis
3.710937500000000000e-01 6.866926620559303807e-01 6.925153877193827023e-01 6.921256686210368603e-01
3.750000000000000000e-01 6.760252783853861747e-01 6.828353227862139496e-01 6.825901975309052183e-01
3.789062500000000000e-01 6.654908779594715940e-01 6.730865717917445812e-01 6.729165394737381956e-01
3.828125000000000000e-01 6.550882135240601034e-01 6.631584594685587808e-01 6.630055300490304004e-01
3.867187500000000000e-01 6.448160456482122660e-01 6.530187213909878219e-01 6.528399799853980001e-01
3.906250000000000000e-01 6.346731426995626535e-01 6.426833876923870870e-01 6.424504532695305414e-01
3.945312500000000000e-01 6.246582808197118641e-01 6.321779706639751861e-01 6.318783328694654866e-01
3.984375000000000000e-01 6.147702438996088814e-01 6.215397831645670390e-01 6.211759366601803389e-01
4.023437500000000000e-01 6.050078235549432026e-01 6.108400356850830493e-01 6.104256729187036434e-01
4.062500000000000000e-01 5.953698191015286412e-01 6.001761030284150644e-01 5.997358908503956920e-01
4.101562500000000000e-01 5.858550375306970093e-01 5.896152855189378261e-01 5.891716917123966946e-01
4.140625000000000000e-01 5.764622934846801439e-01 5.792008459079545091e-01 5.787744406340304959e-01
4.179687500000000000e-01 5.671904092320021462e-01 5.689592968963446129e-01 5.685648738522112167e-01
4.218750000000000000e-01 5.580382146428645163e-01 5.589420945487592052e-01 5.585901905785762844e-01
4.257812500000000000e-01 5.490045471645358388e-01 5.491964581881472185e-01 5.488912246732379208e-01
4.296875000000000000e-01 5.400882517967374730e-01 5.397395832537431604e-01 5.394767086999212591e-01
4.335937500000000000e-01 5.312881810670342375e-01 5.305603120421326091e-01 5.303312723151911712e-01
4.375000000000000000e-01 5.226031950062203224e-01 5.216576156694774369e-01 5.214494013630951441e-01
4.414062500000000000e-01 5.140321611237079757e-01 5.130385185132319004e-01 5.128312457575475714e-01
4.453125000000000000e-01 5.055739543829138594e-01 5.046897746202393398e-01 5.044550220867171086e-01
4.492187500000000000e-01 4.972274571766517326e-01 4.966302118010121336e-01 4.963314314394218774e-01
4.531250000000000000e-01 4.889915593025125351e-01 4.888155419130352786e-01 4.884117617520312704e-01
4.570312500000000000e-01 4.808651579382587915e-01 4.812352242531464652e-01 4.806876318938367865e-01
4.609375000000000000e-01 4.728471576172111335e-01 4.738515857141439858e-01 4.731134179668557982e-01
4.648437500000000000e-01 4.649364702036346553e-01 4.666465752004483325e-01 4.656392990015533195e-01
4.687500000000000000e-01 4.571320148681257689e-01 4.597577634153744985e-01 4.584231744007625231e-01
4.726562500000000000e-01 4.494327180630037222e-01 4.530564852984889646e-01 4.513268566201492082e-01
4.765625000000000000e-01 4.418375134976971208e-01 4.468234802269485106e-01 4.445684150247560251e-01
4.804687500000000000e-01 4.343453421141307835e-01 4.411834917538903222e-01 4.383695982515377065e-01
4.843750000000000000e-01 4.269551520621125418e-01 4.364038698767995217e-01 4.331566562662457764e-01
4.882812500000000000e-01 4.263194281784951079e-01 4.323820435267401452e-01 4.288052455146317277e-01
4.921875000000000000e-01 4.263194281784951079e-01 4.295089475135948076e-01 4.261573190271869538e-01
4.960937500000000000e-01 4.263194281784951079e-01 4.274746840679963245e-01 4.247548312114046709e-01
5.000000000000000000e-01 4.263194281784951079e-01 4.258867910777127119e-01 4.240177219926832275e-01
5.039062500000000000e-01 4.263194281784951079e-01 4.246607150360418581e-01 4.237502221612102771e-01
5.078125000000000000e-01 4.263194281784951079e-01 4.236060128822220494e-01 4.235308882230360839e-01
5.117187500000000000e-01 4.263194281784951079e-01 4.224894632107941694e-01 4.230378169326203808e-01
5.156250000000000000e-01 4.263194281784951079e-01 4.216020778538143721e-01 4.224666829253664879e-01
5.195312500000000000e-01 4.263194281784951079e-01 4.211394735034948988e-01 4.220524159264804065e-01
5.234375000000000000e-01 4.263194281784951079e-01 4.210204756288142280e-01 4.218137527526263919e-01
5.273437500000000000e-01 4.263194281784951079e-01 4.211424861463151648e-01 4.217490588692197617e-01
5.312500000000000000e-01 4.263194281784951079e-01 4.212570546258234683e-01 4.216887218831810169e-01
5.351562500000000000e-01 4.263194281784951079e-01 4.215360649673588478e-01 4.218389392373279589e-01
5.390625000000000000e-01 4.263194281784951079e-01 4.218170127918300372e-01 4.220482583915187158e-01
5.429687500000000000e-01 4.263194281784951079e-01 4.224292973643354321e-01 4.225962238035337881e-01
5.468750000000000000e-01 4.263194281784951079e-01 4.235765457923372779e-01 4.236358280412947930e-01
5.507812500000000000e-01 4.263194281784951079e-01 4.250271979445646164e-01 4.249405267100117567e-01
5.546875000000000000e-01 4.263194281784951079e-01 4.266479553171418360e-01 4.264454772766533841e-01
5.585937500000000000e-01 4.263194281784951079e-01 4.275895590078480635e-01 4.273096801011962986e-01
5.625000000000000000e-01 4.263194281784951079e-01 4.283731726293725228e-01 4.280581828556698776e-01
5.664062500000000000e-01 4.263194281784951079e-01 4.290822629163139057e-01 4.287900817517931173e-01
5.703125000000000000e-01 4.263194281784951079e-01 4.295866129731848448e-01 4.293740823730272105e-01
5.742187500000000000e-01 4.263194281784951079e-01 4.294376260551351909e-01 4.293547972956578418e-01
5.781250000000000000e-01 4.263194281784951079e-01 4.285760817923210952e-01 4.286673550977718739e-01
5.820312500000000000e-01 4.263194281784951079e-01 4.265041272422512852e-01 4.267636319657815980e-01
5.859375000000000000e-01 4.263194281784951079e-01 4.233002812912353141e-01 4.236556973353595157e-01
5.898437500000000000e-01 4.263194281784951079e-01 4.194304308530955039e-01 4.198727171917719936e-01
5.937500000000000000e-01 4.263194281784951079e-01 4.165027868284610912e-01 4.170266770227034070e-01
5.976562500000000000e-01 4.263194281784951079e-01 4.160582808051861425e-01 4.168072116976674346e-01
6.015625000000000000e-01 4.263194281784951079e-01 4.181940008986976265e-01 4.192382958477618438e-01
6.054687500000000000e-01 4.263194281784951079e-01 4.200691379693873850e-01 4.212154967315405729e-01
6.093750000000000000e-01 4.263194281784951079e-01 4.205988900408597075e-01 4.217080847582885816e-01
6.132812500000000000e-01 4.263194281784951079e-01 4.206082002894384608e-01 4.216069881353805004e-01
6.171875000000000000e-01 4.263194281784951079e-01 4.204827273025714685e-01 4.212638820935565853e-01
6.210937500000000000e-01 4.263194281784951079e-01 4.206636207453268161e-01 4.211125960207603436e-01
6.250000000000000000e-01 4.263194281784951079e-01 4.218058032989164263e-01 4.214586158249064018e-01
6.289062500000000000e-01 4.263194281784951079e-01 4.248484868579915918e-01 4.226234472801066455e-01
6.328125000000000000e-01 4.263194281784951079e-01 4.290650346226883016e-01 4.241944730622296267e-01
6.367187500000000000e-01 4.263194281784951079e-01 4.326356696737010954e-01 4.253818362364036321e-01
6.406250000000000000e-01 4.263194281784951079e-01 4.339200559394072454e-01 4.268957277596798217e-01
6.445312500000000000e-01 4.263194281784951079e-01 4.326006711830000517e-01 4.282536126280238054e-01
6.484375000000000000e-01 4.263194281784951079e-01 4.301967612798717755e-01 4.288995408580482116e-01
6.523437500000000000e-01 4.263194281784951079e-01 4.275191181281178809e-01 4.292270763529238975e-01
6.562500000000000000e-01 4.263194281784951079e-01 4.240338417495411738e-01 4.298582713115324805e-01
6.601562500000000000e-01 4.263194281784951079e-01 4.183249845219292884e-01 4.276367624762400510e-01
6.640625000000000000e-01 4.263194281784951079e-01 4.076045734995062952e-01 4.175774988723160996e-01
6.679687500000000000e-01 4.263194281784951079e-01 3.904182855103420779e-01 3.964461474606432723e-01
6.718750000000000000e-01 4.263194281784951079e-01 3.657151867208262019e-01 3.615605912684666801e-01
6.757812500000000000e-01 2.655737117053070806e-01 3.350157698244170534e-01 3.141858088177819086e-01
6.796875000000000000e-01 2.655737117053070806e-01 3.073276115572983747e-01 2.755254709297626503e-01
6.835937500000000000e-01 2.655737117053070806e-01 2.920321124743681662e-01 2.654143047979011238e-01
6.875000000000000000e-01 2.655737117053070806e-01 2.837745238260552250e-01 2.668895099266332949e-01
6.914062500000000000e-01 2.655737117053070806e-01 2.796287273356277692e-01 2.711292099358861285e-01
6.953125000000000000e-01 2.655737117053070806e-01 2.773532799155279394e-01 2.745962932035744264e-01
6.992187500000000000e-01 2.655737117053070806e-01 2.754078603974574602e-01 2.758397595697858473e-01
7.031250000000000000e-01 2.655737117053070806e-01 2.728438342608733302e-01 2.743674490090072249e-01
7.070312500000000000e-01 2.655737117053070806e-01 2.698568928791017507e-01 2.713427311034016798e-01
7.109375000000000000e-01 2.655737117053070806e-01 2.663667412516970701e-01 2.671861143340339417e-01
7.148437500000000000e-01 2.655737117053070806e-01 2.626995618620163730e-01 2.629922526426512475e-01
7.187500000000000000e-01 2.655737117053070806e-01 2.593182105089734124e-01 2.594693132994879137e-01
7.226562500000000000e-01 2.655737117053070806e-01 2.571123814664973972e-01 2.573848864883378496e-01
